issue_id,issue_type,severity,component,user_impact,business_impact,complexity,urgency,affected_users,days_old,num_comments,num_assignees,estimated_hours,actual_hours,has_attachments,is_reproducible,requires_approval,is_completed,priority
ISS-0018,Bug,Low,Infrastructure,4,9,6,3,98,232,6,1,8.379293934755955,6.863411308172862,False,True,False,True,High
ISS-0019,Security,Low,Backend,5,3,7,2,112,229,2,3,10.79999802504004,6.774369729373496,False,True,False,True,High
ISS-0020,Performance,Low,API,4,6,3,6,107,18,2,2,1.4636034485274063,0.9898194543768838,False,True,False,True,High
ISS-0021,Bug,High,Frontend,6,5,6,10,83,19,2,1,44.8413523264244,48.26287069121185,False,False,True,True,High
ISS-0022,Bug,High,Mobile,8,10,4,10,98,27,7,1,20.34640873599302,,False,True,False,False,High
ISS-0023,Performance,Low,Mobile,5,7,8,1,110,238,7,1,1.4642157107586897,,False,False,False,False,High
ISS-0024,Documentation,Low,Backend,3,1,5,9,104,287,2,2,6.17332614904809,,False,False,True,False,High
ISS-0025,Documentation,Medium,Mobile,5,2,3,7,88,293,6,4,3.8301129223055583,5.923127181875601,False,False,False,True,High
ISS-0026,Bug,Critical,Infrastructure,5,2,3,9,100,7,7,3,4.385969605212309,2.402226352052244,False,True,False,True,High
ISS-0027,Bug,High,Database,9,10,9,9,107,106,5,1,4.702280880194958,6.711951826981798,False,True,True,True,High
ISS-0028,Bug,Medium,Infrastructure,2,10,6,3,98,118,2,1,4.173993841855861,7.662579999647381,False,True,False,True,High
ISS-0029,Bug,Medium,Backend,8,8,1,3,97,179,6,1,3.2584547951611276,2.541107718788942,True,False,True,True,High
ISS-0030,Feature Request,Medium,API,8,6,2,4,111,61,6,2,6.667879701157588,4.482517049514684,True,True,True,True,High
ISS-0031,Feature Request,Medium,Frontend,6,2,8,10,102,12,3,1,6.1269612175676995,10.363351591985392,False,True,False,True,High
ISS-0032,Performance,Low,Backend,3,3,1,8,108,348,3,1,14.48082626051207,18.60204243869988,False,True,False,True,High
ISS-0033,Feature Request,High,Database,6,1,7,1,93,308,6,3,8.742204060502818,16.09298908405356,True,True,False,True,High
ISS-0034,Enhancement,Critical,Infrastructure,2,10,5,10,96,158,6,3,1.0982251291496457,1.4806957812357862,False,False,False,True,High
ISS-0035,Bug,High,Backend,10,8,2,9,93,170,8,3,22.789415086099797,,True,False,False,False,High
ISS-0036,Bug,Low,Infrastructure,7,3,8,5,97,201,1,1,5.062224758837425,9.515886193359218,False,True,False,True,High
ISS-0037,Bug,Medium,Database,6,8,9,7,90,160,3,2,2.568469121593986,,False,True,False,False,High
ISS-0038,Feature Request,Medium,Mobile,7,3,8,3,96,304,3,3,5.830677202348974,6.770256551500642,False,True,True,True,High
ISS-0039,Performance,Low,Backend,10,3,2,1,107,320,5,2,18.475606819765375,29.213992446838574,False,True,False,True,High
ISS-0040,Security,Low,Infrastructure,5,7,2,7,105,84,1,2,5.377490546942403,,False,True,False,False,High
ISS-0041,Feature Request,High,Mobile,5,6,9,2,113,341,5,2,6.747025060695452,,False,True,False,False,High
ISS-0042,Feature Request,High,Mobile,2,7,5,6,118,355,4,1,2.2067555723907804,1.985523008101967,True,True,False,True,High
ISS-0043,Feature Request,Low,Mobile,10,2,6,1,84,281,7,4,2.160217990710965,1.954709613115094,True,False,False,True,High
ISS-0044,Security,High,Frontend,10,2,5,9,83,216,4,1,28.461352863806624,18.631957656926588,False,False,False,True,High
ISS-0045,Enhancement,Medium,API,8,3,8,5,109,197,6,2,59.75149350552087,72.28826369868577,True,True,True,True,High
ISS-0046,Bug,Medium,Mobile,2,4,7,3,96,272,7,2,14.036185396898668,20.948764757821223,False,True,False,True,High
ISS-0047,Feature Request,Medium,Backend,7,2,3,7,85,235,8,1,3.708872851342608,3.1540685942696243,True,False,False,True,High
ISS-0048,Bug,Medium,API,10,5,5,6,104,225,7,1,2.992679188964054,4.995908939606108,True,False,False,True,High
ISS-0049,Performance,Low,Mobile,10,3,2,2,107,159,4,3,5.891536288047751,5.357993237217088,True,False,True,True,High
ISS-0050,Bug,Low,Database,2,8,6,8,107,36,4,2,8.179904612704599,,False,True,False,False,High
ISS-0051,Performance,Medium,API,1,9,9,5,106,187,3,3,2.103711259230045,3.3980456647517525,False,False,False,True,High
ISS-0052,Bug,High,Infrastructure,1,9,1,8,94,343,3,2,15.666729154921526,12.051568502632586,False,True,False,True,High
ISS-0053,Performance,High,API,6,1,10,6,96,209,6,1,4.127886161737841,6.8341742591723795,False,True,False,True,High
ISS-0054,Feature Request,Medium,Mobile,4,2,4,6,88,235,6,1,4.0940427449495935,,True,False,False,False,High
ISS-0055,Feature Request,Medium,Database,8,9,1,5,89,49,3,4,8.670461515446242,,True,True,False,False,High
ISS-0056,Feature Request,High,Frontend,6,6,5,5,104,63,1,1,4.987139976685738,6.9821496818808715,False,False,False,True,High
ISS-0057,Bug,Medium,Frontend,1,9,6,6,92,241,3,1,1.654701516864698,1.1567581977226902,False,False,False,True,High
ISS-0058,Bug,High,Database,3,6,9,6,104,40,8,3,5.816487775480371,7.5009658512130475,True,True,False,True,High
ISS-0059,Bug,Low,Backend,3,7,4,8,114,287,7,2,1.5994989746743462,1.4179947612843884,False,True,False,True,High
ISS-0060,Feature Request,High,API,4,8,2,1,101,249,8,2,8.987824001804348,,False,False,True,False,High
ISS-0061,Bug,Low,Mobile,5,6,9,6,114,230,5,2,4.146593635111417,,False,True,False,False,High
ISS-0062,Bug,High,Backend,10,9,1,5,93,0,5,3,10.776703010610929,19.358453130945293,False,True,False,True,High
ISS-0063,Bug,High,Backend,1,7,3,6,90,160,2,5,27.846434462559273,53.68006398649926,False,True,False,True,High
ISS-0064,Feature Request,Medium,API,7,4,2,10,108,340,4,2,15.566966892781165,,False,True,False,False,High
ISS-0065,Feature Request,Critical,Frontend,4,1,1,3,121,303,4,4,5.179245459636778,,False,True,False,False,High
ISS-0066,Feature Request,High,Infrastructure,3,6,2,2,115,364,3,1,4.651476501033489,7.178162304252686,False,True,False,True,High
ISS-0067,Bug,Critical,Database,8,10,2,9,97,303,5,1,6.180733749379441,8.18404156347478,False,True,False,True,High
ISS-0068,Feature Request,Low,Mobile,9,4,3,4,120,289,7,3,5.0853411806811595,,False,True,False,False,High
ISS-0069,Documentation,High,Frontend,10,10,8,4,99,309,6,1,2.906512753441246,3.245245611001564,False,True,False,True,High
ISS-0070,Documentation,High,Database,4,7,10,9,85,241,5,1,3.0934761160486675,4.5070127736719545,False,True,True,True,High
ISS-0071,Bug,Medium,Backend,3,10,6,7,108,279,3,1,1.6620054987823798,3.060227975370376,False,True,False,True,High
ISS-0072,Bug,Medium,Backend,5,5,8,6,104,299,8,2,26.28962741836268,40.35477095396632,False,True,False,True,High
ISS-0073,Documentation,High,API,8,4,3,7,98,4,5,3,17.001269556537732,21.42597997975821,True,True,False,True,High
ISS-0074,Bug,High,Backend,9,9,1,3,98,195,7,2,8.90981733585389,11.57137390865014,True,True,False,True,High
ISS-0075,Bug,Critical,Database,2,3,2,4,103,280,6,4,14.952937648156679,10.207516221543283,False,True,True,True,High
ISS-0076,Documentation,High,API,4,2,6,2,105,4,4,2,33.922384621255624,24.19934900573461,False,True,False,True,High
ISS-0077,Bug,Medium,Frontend,5,7,4,4,106,177,4,2,15.060622008724266,,True,True,False,False,High
ISS-0078,Bug,High,Backend,7,10,8,7,104,241,3,1,3.4723476786667704,4.336964863485057,True,True,False,True,High
ISS-0079,Bug,Medium,Database,9,4,6,10,95,59,3,3,14.949799966622876,16.138658362644133,True,False,False,True,High
ISS-0080,Performance,High,API,1,7,5,8,76,42,3,2,4.9228946289871,9.783675192783555,False,True,False,True,High
ISS-0081,Feature Request,Medium,Infrastructure,8,10,6,1,95,328,3,3,9.260445068509672,5.212953034473,False,True,False,True,High
ISS-0082,Enhancement,Medium,API,2,10,1,8,104,314,5,2,1.1023713280054896,,False,False,False,False,High
ISS-0083,Feature Request,Medium,Infrastructure,5,8,8,7,90,255,4,1,11.356430832483095,,False,False,False,False,High
ISS-0084,Feature Request,Medium,Database,6,3,7,7,103,228,2,1,11.370509484890286,,False,False,False,False,High
ISS-0085,Feature Request,Medium,Database,2,9,9,4,102,313,2,4,4.6701771303168265,3.3780889166184784,False,False,False,True,High
ISS-0086,Feature Request,Medium,Infrastructure,3,10,5,6,98,201,5,2,1.5364174280854548,2.0622207738563163,False,True,False,True,High
ISS-0087,Bug,Low,Frontend,3,6,8,10,107,191,4,1,1.516668513406826,,False,True,True,False,High
ISS-0088,Enhancement,Medium,Database,6,7,9,10,103,60,8,3,3.0447278713079595,3.6311400857085743,False,False,False,True,High
ISS-0089,Enhancement,Critical,Backend,3,1,8,9,92,56,4,1,3.4273018508510655,6.37266292716854,True,True,False,True,High
ISS-0090,Documentation,Critical,Mobile,4,8,4,2,117,195,3,3,7.358260854582957,13.415606365799238,False,True,False,True,High
ISS-0091,Feature Request,Low,Mobile,3,7,10,5,103,344,3,3,5.3301402851607005,8.131828097500676,False,True,False,True,High
ISS-0092,Feature Request,Medium,Frontend,1,2,6,6,113,4,7,2,14.13583830694506,8.169593822406613,True,True,True,True,High
ISS-0093,Bug,Medium,Infrastructure,8,8,5,6,90,167,3,2,20.194548397229447,25.176922377981693,False,False,False,True,High
ISS-0094,Documentation,Low,API,10,8,8,9,103,54,6,2,4.609150225586991,,False,True,True,False,High
ISS-0095,Bug,Medium,Database,5,4,6,6,113,301,5,5,32.20963702714105,22.377312709456746,True,True,False,True,High
ISS-0096,Bug,High,Database,9,4,6,2,87,363,5,3,14.988598186279184,12.887364130223213,False,True,False,True,High
ISS-0097,Enhancement,Medium,Infrastructure,1,5,3,1,88,65,1,2,2.4630410122436306,4.895574615633147,True,True,False,True,High
ISS-0098,Bug,High,Mobile,3,9,5,5,105,38,5,1,4.951215621973347,4.159494331847001,True,True,False,True,High
ISS-0099,Feature Request,Critical,Infrastructure,10,6,7,6,113,274,4,3,3.644952620858553,,False,True,True,False,High
ISS-0100,Bug,Critical,API,9,5,3,9,95,195,4,5,8.871765116684724,15.589716515106005,False,True,False,True,High
ISS-0101,Feature Request,Medium,API,5,3,1,5,106,215,3,4,5.995437770265079,6.062727863961595,True,False,False,True,High
ISS-0102,Documentation,Medium,API,4,6,3,6,94,346,4,1,6.11675053253767,4.3431139761848785,False,True,False,True,High
ISS-0103,Bug,Medium,Mobile,4,8,1,6,113,135,1,1,13.979604875405169,17.740140799567385,False,True,True,True,High
ISS-0104,Enhancement,High,Database,7,7,9,7,101,146,7,2,3.8160883076092684,,False,False,True,False,High
ISS-0105,Enhancement,Low,Frontend,4,2,2,2,106,81,5,3,5.257420039025023,7.7266995065884725,False,True,True,True,High
ISS-0106,Bug,High,Database,4,6,5,2,102,349,1,2,3.796921753523021,5.18583508587167,True,True,False,True,High
ISS-0107,Enhancement,Medium,API,5,6,2,4,106,121,6,3,1.099088759725866,0.5947504115816538,False,True,True,True,High
ISS-0108,Enhancement,Critical,Frontend,1,4,3,10,105,125,7,1,29.611625548841047,58.22173193919908,True,True,False,True,High
ISS-0109,Performance,Medium,Database,2,6,5,10,116,169,5,2,2.3150763410945716,4.528551460469368,False,True,False,True,High
ISS-0110,Bug,High,Database,3,10,2,3,90,20,5,2,6.369486167835801,12.680198432951686,False,True,False,True,High
ISS-0111,Bug,High,API,5,1,5,4,117,90,6,3,3.581143198330741,,True,True,False,False,High
ISS-0112,Feature Request,Low,Backend,4,6,1,8,99,191,10,3,5.626411695579812,,True,False,False,False,High
ISS-0113,Feature Request,Medium,Backend,6,6,3,6,102,276,5,5,10.036398835494026,,True,True,False,False,High
ISS-0114,Enhancement,High,Mobile,9,1,4,3,104,264,3,1,7.372615801671599,10.067756582364245,True,True,False,True,High
ISS-0115,Enhancement,High,Backend,10,6,2,2,107,289,7,2,31.898671743810578,33.070026893580774,True,False,False,True,High
ISS-0116,Feature Request,Medium,Infrastructure,4,4,2,2,107,334,5,1,2.1493775592583697,1.2498588642249757,False,True,False,True,High
ISS-0117,Bug,High,Infrastructure,1,7,8,2,100,319,3,3,4.007420362350718,,False,False,False,False,High
ISS-0118,Security,Critical,Backend,7,10,1,9,107,22,4,2,24.056701299998487,29.183422791641352,False,True,False,True,High
ISS-0119,Bug,Low,Database,2,3,9,7,109,99,7,1,2.1750259398455003,3.4972159157354055,False,True,False,True,High
ISS-0120,Bug,Low,API,3,9,1,6,110,302,2,1,1.1561348133590168,1.2954074518260799,False,True,False,True,High
ISS-0121,Bug,Medium,API,10,10,6,1,95,174,4,1,4.66755628012859,5.382912668539215,False,True,False,True,High
ISS-0122,Enhancement,Medium,Database,5,4,7,4,113,330,4,3,10.906731770265617,,False,True,False,False,High
ISS-0123,Feature Request,Low,Mobile,8,4,2,6,97,198,4,3,9.083815905739176,13.727421204566298,False,False,False,True,High
ISS-0124,Feature Request,Low,Frontend,2,10,1,2,99,225,3,1,14.159090418806816,18.688097971735825,True,True,False,True,High
ISS-0125,Bug,Critical,Frontend,1,2,6,9,94,18,2,1,15.147076521336917,,False,True,False,False,High
ISS-0126,Security,High,Backend,8,4,1,7,109,43,1,1,21.850529416419214,31.717038374808116,False,False,False,True,High
ISS-0127,Bug,Medium,Frontend,3,10,4,9,125,88,9,2,4.552547295013229,3.917914778432798,False,True,False,True,High
ISS-0128,Bug,Critical,Backend,1,1,6,2,106,67,6,3,24.418088935553204,,False,True,False,False,High
ISS-0129,Bug,Medium,Frontend,3,7,9,4,95,194,2,3,12.894443342876155,22.39999209543738,False,True,False,True,High
ISS-0130,Performance,High,Mobile,9,9,9,6,97,167,3,1,11.4552765685975,,False,True,False,False,High
ISS-0131,Feature Request,High,Infrastructure,5,9,3,9,97,227,6,3,2.4648594425035575,,False,True,False,False,High
ISS-0132,Enhancement,High,Frontend,5,5,6,1,101,291,4,3,2.0411473401922797,3.6244804816633156,True,True,True,True,High
ISS-0133,Bug,Medium,Mobile,3,1,1,7,102,270,3,3,2.0626104442612623,,False,True,False,False,High
ISS-0134,Feature Request,Medium,Frontend,1,8,3,5,101,12,10,1,4.00177458381779,,False,True,False,False,High
ISS-0135,Bug,High,API,5,5,1,6,96,333,3,1,10.054232908867396,8.124846855404973,False,True,False,True,High
ISS-0136,Bug,Medium,Infrastructure,8,4,8,2,121,217,6,2,2.8296778498262585,1.7291123608809993,False,True,False,True,High
ISS-0137,Feature Request,Medium,Backend,7,7,6,4,95,107,5,2,5.792687332631868,7.966888245053251,True,True,True,True,High
ISS-0138,Bug,Medium,Mobile,6,3,5,8,103,24,4,4,2.9926533719192094,,False,True,False,False,High
ISS-0139,Feature Request,Medium,Backend,3,4,5,9,99,92,7,2,14.646249931205015,27.348677985089243,False,True,True,True,High
ISS-0140,Performance,High,Backend,3,10,1,2,97,337,9,1,21.28285966962613,27.827294640795795,False,False,False,True,High
ISS-0141,Documentation,Medium,Mobile,10,6,10,8,99,36,7,2,1.2297581357188374,1.133292368397117,True,True,False,True,High
ISS-0142,Bug,Medium,Frontend,10,5,2,7,108,82,3,2,7.135276663518752,7.3542136239664115,False,True,False,True,High
ISS-0143,Security,High,Backend,1,10,10,7,93,316,8,2,8.544091675416398,12.905578143152844,False,True,True,True,High
ISS-0144,Bug,Critical,Backend,5,6,2,6,102,125,4,1,6.858840008153315,5.953668406820972,False,True,False,True,High
ISS-0145,Security,Medium,Mobile,9,1,1,3,106,353,6,1,2.2330637781394023,1.8073930759279966,False,True,False,True,High
ISS-0146,Feature Request,Critical,Frontend,9,3,5,10,93,155,5,1,7.067075137425541,12.232387185980508,False,True,False,True,High
ISS-0147,Enhancement,Critical,Backend,8,6,6,9,108,115,4,5,7.550758764461658,6.268390667079715,False,True,False,True,High
ISS-0148,Feature Request,Medium,Backend,2,1,9,2,110,135,6,1,10.992761929038307,16.42017343032727,False,True,False,True,High
ISS-0149,Enhancement,Medium,Backend,4,10,5,5,105,169,6,3,11.30882433197552,,False,True,False,False,High
ISS-0150,Feature Request,Low,Frontend,6,9,3,6,109,172,5,3,14.791966219671858,29.213519198742457,False,True,True,True,High
ISS-0151,Bug,Medium,Infrastructure,6,5,3,5,105,175,10,1,55.446009759114254,89.94872361316605,False,False,False,True,High
ISS-0152,Bug,Medium,Frontend,3,4,5,3,98,303,1,1,20.873172467516515,,True,True,True,False,High
ISS-0153,Performance,Medium,Mobile,10,3,9,4,99,152,6,5,32.756330498594494,55.9026444440644,False,True,False,True,High
ISS-0154,Enhancement,Medium,Backend,8,7,5,5,80,344,5,3,5.858280922302234,10.287437843723227,True,True,False,True,High
ISS-0155,Enhancement,Low,Infrastructure,4,6,3,8,103,321,4,1,5.403952162507247,7.621033957806735,False,True,False,True,High
ISS-0156,Performance,Low,Database,5,7,8,9,116,118,6,2,18.797078053682522,24.959055440868998,False,True,False,True,High
ISS-0157,Bug,Low,API,5,4,3,5,99,359,3,3,4.640550657671975,4.42577921544179,True,False,False,True,High
ISS-0158,Bug,Low,Infrastructure,2,7,5,6,110,354,0,1,17.661534552703625,34.90540470063967,False,True,False,True,High
ISS-0159,Bug,High,Backend,3,8,1,10,95,166,3,2,6.092129073402621,8.159604448925775,False,True,False,True,High
ISS-0160,Bug,Medium,Database,9,8,1,1,90,187,6,2,2.6391915613655925,2.185421369785728,False,True,False,True,High
ISS-0161,Security,Medium,Frontend,6,3,10,3,116,314,5,3,3.2979261879370565,1.6521953457224972,False,True,False,True,High
ISS-0162,Bug,Medium,Mobile,1,8,10,8,118,173,4,3,10.698414934610879,17.55220968642287,False,False,False,True,High
ISS-0163,Enhancement,Medium,Database,5,5,7,1,101,200,5,4,46.01078054217616,,True,True,False,False,High
ISS-0164,Documentation,Low,Database,1,8,10,3,109,272,8,1,3.6592169100716383,3.4351800309004363,True,True,False,True,High
ISS-0165,Feature Request,Medium,Infrastructure,2,6,7,5,115,217,7,1,2.2275896480652753,3.952415260179793,False,True,False,True,High
ISS-0166,Performance,Medium,Infrastructure,9,8,8,7,101,117,8,1,9.71381798397865,10.72026072966017,False,False,False,True,High
ISS-0167,Enhancement,High,Frontend,2,3,10,5,99,213,3,4,2.1795540215272227,,False,True,False,False,High
ISS-0168,Bug,High,API,2,5,3,6,102,39,2,3,13.914827808500144,18.99772059703587,True,False,False,True,High
ISS-0169,Bug,Medium,Frontend,8,3,7,10,110,219,5,1,10.421536335661632,8.751823202653464,True,True,False,True,High
ISS-0170,Documentation,Low,Infrastructure,3,8,1,1,103,165,7,2,3.8910410060050946,,False,True,False,False,High
ISS-0171,Bug,Medium,API,6,6,2,2,96,12,4,2,9.358355928487791,14.24369398053419,True,True,False,True,High
ISS-0172,Performance,Low,Database,4,6,10,5,82,323,3,1,6.843074474634011,,False,False,False,False,High
ISS-0173,Bug,Low,API,3,7,10,9,94,229,7,3,5.515241800781468,10.327792703739776,False,True,False,True,High
ISS-0174,Bug,Medium,Database,3,10,1,4,96,213,5,3,49.33473051879476,58.68248924036958,False,True,True,True,High
ISS-0175,Performance,Medium,API,7,9,2,8,99,205,5,1,1.6393395467559584,2.8610187776882094,False,True,False,True,High
ISS-0176,Bug,Critical,Backend,6,1,3,2,113,143,2,1,8.100697604571746,15.883042816005728,True,True,False,True,High
ISS-0177,Performance,High,Infrastructure,8,1,1,8,94,89,4,1,12.169734209697154,15.075904113095925,False,True,False,True,High
ISS-0178,Bug,Medium,Mobile,7,4,4,9,94,223,2,1,10.556502860264649,15.436317267013642,False,False,False,True,High
ISS-0179,Bug,Medium,Infrastructure,4,9,4,9,102,4,5,5,2.358732530916813,,False,True,False,False,High
ISS-0180,Performance,High,Mobile,2,4,10,2,104,351,7,3,1.327733198903399,,True,True,False,False,High
ISS-0181,Bug,Low,API,3,10,8,2,106,11,4,1,4.799817669379727,2.5322840296463096,False,True,False,True,High
ISS-0182,Enhancement,High,Infrastructure,6,9,4,2,96,321,2,2,14.150477857587605,,False,True,False,False,High
ISS-0183,Feature Request,Medium,Frontend,2,5,4,7,101,333,8,5,8.440708901133387,14.824385399805845,False,True,False,True,High
ISS-0184,Bug,Low,Mobile,8,3,7,6,106,86,3,3,21.047167167329487,13.789076243074772,False,True,True,True,High
ISS-0185,Bug,Medium,Frontend,3,6,7,8,116,132,4,1,3.198644053307158,3.110290041745096,True,False,False,True,High
ISS-0186,Feature Request,Low,Database,4,3,1,10,100,193,5,2,10.45826790035186,,False,True,False,False,High
ISS-0187,Enhancement,High,API,9,6,4,5,110,199,5,1,1.8917747924104922,2.4905543014114415,False,False,True,True,High
ISS-0188,Feature Request,Medium,Infrastructure,4,6,1,10,102,262,7,1,1.4685058646209694,,False,True,False,False,High
ISS-0189,Documentation,Medium,Database,6,9,7,7,95,312,3,1,9.58594775840109,,False,True,True,False,High
ISS-0190,Performance,Medium,Backend,5,6,4,10,121,209,3,1,17.20989375925477,12.8008391238967,True,True,False,True,High
ISS-0191,Bug,Critical,Backend,9,3,8,8,111,122,5,3,4.7159460590509745,6.062325664343356,False,True,False,True,High
ISS-0192,Bug,Medium,API,4,2,10,5,91,345,3,2,6.810046980465344,12.96568843724289,False,False,False,True,High
ISS-0193,Bug,Low,Mobile,7,1,5,2,105,273,5,3,15.005284672948905,15.450256387516246,False,False,False,True,High
ISS-0194,Documentation,Medium,Database,7,3,7,1,103,214,6,1,11.847472693036071,16.551081378126483,False,False,False,True,High
ISS-0195,Bug,High,API,3,5,3,8,103,8,3,1,2.639255336888164,3.8753724062123918,False,False,False,True,High
ISS-0196,Bug,High,Frontend,10,9,4,9,81,24,3,1,9.879837235566905,11.027708489266027,False,True,False,True,High
ISS-0197,Bug,Critical,Database,10,8,6,8,95,268,2,1,8.087974459161831,8.071634382183355,False,True,False,True,High
ISS-0198,Documentation,High,Backend,6,8,9,1,98,150,1,3,3.546787013785362,,False,True,True,False,High
ISS-0199,Security,Low,Database,8,6,7,6,81,172,6,1,9.85039075573589,11.10714596569783,False,True,True,True,High
ISS-0200,Feature Request,Medium,Mobile,2,8,3,8,93,339,6,2,4.053662222107981,,False,True,False,False,High
ISS-0201,Feature Request,Low,Mobile,6,6,2,8,88,224,4,3,2.7481769957243705,4.926099919092527,False,True,False,True,High
ISS-0202,Feature Request,Medium,Database,9,1,10,3,90,359,5,1,1.7350649572241204,2.215879646576285,True,True,False,True,High
ISS-0203,Bug,Medium,Frontend,9,10,4,1,115,275,5,1,9.139697710366182,5.352899266102268,True,False,True,True,High
ISS-0204,Bug,Medium,Mobile,10,8,9,4,101,59,9,1,9.910835520380264,,True,True,False,False,High
ISS-0205,Feature Request,Medium,Mobile,3,6,3,8,112,34,5,2,1.9234090634483065,1.8761199986745396,False,True,False,True,High
ISS-0206,Performance,Medium,Frontend,6,8,2,7,113,336,4,1,1.0412230472186483,0.6522044848388702,True,False,False,True,High
ISS-0207,Bug,Medium,Frontend,1,8,8,6,93,245,4,1,14.742964661115193,21.437317566910572,False,True,False,True,High
ISS-0208,Documentation,Low,Database,4,3,4,1,95,337,6,1,23.78653245480543,39.563139091322704,True,True,False,True,High
ISS-0209,Security,High,API,9,2,2,6,100,191,4,2,8.238185911683049,9.336240125608219,True,False,False,True,High
ISS-0210,Feature Request,Medium,Backend,7,2,4,5,106,80,5,2,2.9839474282544485,5.587448442243124,False,True,True,True,High
ISS-0211,Bug,Medium,Frontend,1,1,8,4,101,170,6,3,3.5672272415500923,2.2179104695944196,False,True,False,True,High
ISS-0212,Performance,Medium,Infrastructure,3,10,2,10,96,69,6,1,5.1331530684462585,8.871648497165891,False,True,False,True,High
ISS-0213,Bug,High,Database,6,9,7,3,97,211,12,1,1.1678120703358752,,False,True,True,False,High
ISS-0214,Feature Request,Medium,API,6,8,10,1,112,272,5,1,7.2918482306792285,11.206622758775794,False,True,False,True,High
ISS-0215,Enhancement,Medium,Infrastructure,5,10,6,3,97,278,7,3,6.604413963758762,,False,True,False,False,High
ISS-0216,Documentation,Medium,Mobile,2,1,9,9,118,31,11,4,9.578070106373174,18.192921001458647,False,True,False,True,High
ISS-0217,Bug,Medium,Backend,2,4,2,7,98,277,5,1,7.308288900430248,9.617413427219779,False,True,False,True,High
ISS-0218,Documentation,High,Frontend,5,2,8,10,108,182,4,2,2.797796284636556,,True,True,False,False,High
ISS-0219,Feature Request,Critical,Mobile,5,7,3,10,118,153,6,2,3.9939630464094176,,False,False,False,False,High
ISS-0220,Enhancement,High,API,8,6,1,1,98,347,4,2,6.303885441936436,6.74971404928833,False,True,False,True,High
ISS-0221,Documentation,High,Backend,1,8,2,10,101,65,2,1,2.191417974190987,,False,True,False,False,High
ISS-0222,Performance,Medium,Database,2,6,4,6,86,245,6,3,16.04722463700277,18.382413533599212,False,True,False,True,High
ISS-0223,Bug,High,Mobile,8,5,9,6,113,34,4,2,14.791680803554735,24.96594594081362,False,True,True,True,High
ISS-0224,Enhancement,Medium,Frontend,4,2,5,3,118,353,3,1,5.192497514926515,3.6584026371908336,False,True,False,True,High
ISS-0225,Bug,Medium,Infrastructure,2,5,6,5,88,19,4,2,4.279682301694006,,False,True,False,False,High
ISS-0226,Bug,Low,Infrastructure,5,9,7,8,100,219,3,2,12.71394798198144,17.357232819804292,True,True,False,True,High
ISS-0227,Bug,Critical,Frontend,5,2,2,1,98,245,8,2,3.6793118924021035,6.520742356506317,True,True,False,True,High
ISS-0228,Bug,Critical,Backend,5,9,8,2,117,181,5,1,27.52423676624636,38.66658709570202,False,False,False,True,High
ISS-0229,Bug,Medium,API,9,5,5,10,108,177,6,1,2.8760330864598282,5.511380332646721,False,True,False,True,High
ISS-0230,Documentation,High,Database,4,8,5,10,84,243,8,1,4.22980324289218,,False,True,False,False,High
ISS-0231,Enhancement,Critical,Database,6,3,10,6,97,8,6,2,5.704151950506895,,True,True,False,False,High
